date,nav
12-02-2021,64.51520
11-02-2021,64.51560
10-02-2021,64.51030
09-02-2021,64.50500
08-02-2021,64.49970
05-02-2021,64.48390
04-02-2021,64.47870
03-02-2021,64.47350
02-02-2021,64.46820
01-02-2021,64.46300
29-01-2021,64.44610
28-01-2021,64.44440
27-01-2021,64.43910
25-01-2021,64.42790
22-01-2021,64.41120
21-01-2021,64.40460
20-01-2021,64.40740
19-01-2021,64.40260
18-01-2021,64.39810
15-01-2021,64.37840
14-01-2021,64.38070
13-01-2021,64.37760
12-01-2021,64.37920
11-01-2021,64.37730
08-01-2021,64.38030
07-01-2021,64.37550
06-01-2021,64.37650
05-01-2021,64.37530
04-01-2021,64.35860
01-01-2021,64.33730
31-12-2020,64.33090
30-12-2020,64.32860
29-12-2020,64.31880
28-12-2020,64.31950
24-12-2020,64.29530
23-12-2020,64.29030
22-12-2020,64.28480
21-12-2020,64.27930
18-12-2020,64.26180
17-12-2020,64.25290
16-12-2020,64.24980
15-12-2020,64.24230
14-12-2020,64.23200
11-12-2020,64.21450
10-12-2020,64.21160
09-12-2020,64.20880
08-12-2020,64.20480
07-12-2020,64.20280
04-12-2020,64.18930
03-12-2020,64.17430
02-12-2020,64.17130
01-12-2020,64.16950
27-11-2020,64.15380
26-11-2020,64.15090
25-11-2020,64.14870
24-11-2020,64.14150
23-11-2020,64.12910
20-11-2020,64.11010
19-11-2020,64.09740
18-11-2020,64.09080
17-11-2020,64.08200
13-11-2020,64.06140
12-11-2020,64.05190
11-11-2020,64.04550
10-11-2020,64.03710
09-11-2020,64.03880
06-11-2020,64.02940
05-11-2020,64.01220
04-11-2020,64.00240
03-11-2020,63.99740
02-11-2020,63.99380
29-10-2020,63.97360
28-10-2020,63.96220
27-10-2020,63.96640
26-10-2020,63.96120
23-10-2020,63.94310
22-10-2020,63.92600
21-10-2020,63.91840
20-10-2020,63.91390
19-10-2020,63.89750
16-10-2020,63.88100
15-10-2020,63.87870
14-10-2020,63.86770
13-10-2020,63.86350
12-10-2020,63.85420
09-10-2020,63.83060
08-10-2020,63.80270
07-10-2020,63.79160
06-10-2020,63.78040
05-10-2020,63.78200
01-10-2020,63.75940
30-09-2020,63.74510
29-09-2020,63.73160
28-09-2020,63.73140
25-09-2020,63.71500
24-09-2020,63.71070
23-09-2020,63.71510
